NumberofFloors,PropertyGFABuilding(s),ENERGYSTARScore,BuildingAge,Energy_per_m2,Carbon_intensity_ratio,Age_x_Size,ENERGY_vs_type_mean
3,37350,51.0,37,55.3508032128514,7.076683826294742e-06,1381950,2628999.7780914395
3,28800,50.0,108,46.70228298611111,2.1419664270368057e-05,3110400,2628999.7780914395
3,28584,75.0,62,59.3681342709208,3.5610345739450185e-05,1772208,2628999.7780914395
2,26270,32.0,85,59.40090407308717,2.1647438650771157e-05,2232950,2274415.943082143
3,49800,50.0,90,47.89949799196787,6.971591707033845e-06,4482000,2628999.7780914395
5,57800,87.0,26,42.267564878892735,2.7133945767514806e-05,1502800,3010660.921875
2,31890,2.0,61,58.26982204452806,6.969017537371188e-06,1945290,3669635.28125
2,30438,53.0,91,47.37172284644195,2.8913229449604877e-05,2769858,2628999.7780914395
4,26670,51.0,64,58.238034308211475,6.97266392218623e-06,1706880,2247036.2352941176
4,44416,61.0,49,60.10366196865994,2.7262876328973916e-05,2176384,3010660.921875
2,45991,77.0,88,24.9078243569394,3.1801713739619215e-05,4047208,997971.7780206897
3,21499,85.0,95,28.146922531280524,6.97370020587495e-06,2042405,2395087.953125
2,20384,16.0,27,87.86653134811617,7.766301329002033e-06,550368,2628999.7780914395
2,54284,18.0,60,124.87462235649546,9.383813460232901e-06,3257040,2274415.943082143
1,23409,67.0,60,108.73616984920329,1.116128867508314e-05,1404540,2274415.943082143
4,32356,81.0,89,57.3975383236494,4.034128012218691e-05,2879684,3669635.28125
7,48220,24.0,56,82.82690273745334,3.162312050718678e-05,2700320,3010660.921875
5,32256,51.0,38,107.27540612599206,2.865378782700973e-05,1225728,2628999.7780914395
2,23931,88.0,106,20.74620001253604,3.7584799003277716e-05,2536686,997971.7780206897
2,21393,57.0,68,39.54384027485626,3.858332184492466e-05,1454724,997971.7780206897
2,47560,80.0,26,23.81180876787216,2.9342432165769287e-05,1236560,1418871.6024444446
6,62334,100.0,10,17.273610710045883,3.248715501262731e-05,623340,2578887.625
2,21600,72.0,59,58.40447916666667,3.0811627168213685e-05,1274400,1996164.7493421054
3,22860,43.0,21,40.732660761154854,6.969886252047035e-06,480060,1996164.7493421054
1,26366,88.0,44,33.680948001213686,3.628248141430734e-05,1160104,997971.7780206897
2,21732,2.0,51,39.58973805908338,2.7418621489286477e-05,1108332,997971.7780206897
1,38624,83.0,58,36.87233973695112,2.7230139087520007e-05,2240192,1996164.7493421054
3,32960,71.0,116,24.68570995145631,6.968675374028595e-06,3823360,2274415.943082143
3,20571,72.0,86,34.81987688979631,6.966552433472435e-06,1769106,3010660.921875
2,47992,17.0,90,63.347964244040675,3.8934996121137605e-05,4319280,997971.7780206897
3,28572,16.0,23,95.12331128377433,3.2956036327434795e-05,657156,2395087.953125
2,31386,52.0,16,35.94529806283056,2.4056463551388614e-05,502176,997971.7780206897
2,57619,68.0,4,45.847407105295126,7.601218428374273e-06,230476,2628999.7780914395
1,55206,75.0,45,42.49089772850777,2.636254251034583e-05,2484270,1996164.7493421054
3,78374,98.0,35,42.37420254165922,6.97071689156011e-06,2743090,2578887.625
5,39960,77.0,116,54.52178428428429,2.2940385520568432e-05,4635360,2628999.7780914395
6,35820,94.0,107,92.73040201005026,3.93123440700168e-05,3832740,3010660.921875
3,49744,98.0,51,42.15253095850756,4.258321647072458e-05,2536944,1996164.7493421054
2,37816,60.0,93,37.32032737465623,3.078709747818598e-05,3516888,997971.7780206897
2,25762,100.0,70,73.99987869730612,6.971310029932964e-06,1803340,5155351.229166667
3,43387,60.0,35,61.92557678567313,1.2710452905259671e-05,1518545,2628999.7780914395
1,37500,36.0,31,48.30683666666667,7.264672198572859e-06,1162500,1334609.24919344
2,39000,25.0,26,67.05763461538461,1.2970090500985998e-05,1014000,2247036.2352941176
1,51704,62.0,45,34.8020027464026,2.316324124768621e-05,2326680,1996164.7493421054
1,29740,57.0,55,49.32953093476799,1.351001092150101e-05,1635700,2628999.7780914395
2,39170,81.0,46,54.39555144243043,2.959627207121691e-05,1801820,2628999.7780914395
1,20000,75.0,102,27.893184375,6.9730295897777e-06,2040000,2274415.943082143
2,32400,91.0,61,7.673333333333333,6.958522379895099e-06,1976400,1334609.24919344
1,26680,92.0,61,9.127368931784108,6.98099763532626e-06,1627480,1418871.6024444446
1,31521,6.0,63,56.728783985279655,3.451056623948353e-05,1985823,1334609.24919344
1,35579,72.0,18,30.82285196323674,3.560856566098685e-05,640422,1418871.6024444446
1,49950,77.0,41,4.784178240240241,6.988333576751219e-06,2047950,1418871.6024444446
3,62078,97.0,15,31.492855762105737,2.592820970289975e-05,931170,1996164.7493421054
2,22612,87.0,69,32.34219938528215,4.320943182588308e-05,1560228,997971.7780206897
1,30545,12.0,78,51.63008266492061,3.901610983925829e-05,2382510,1334609.24919344
3,32691,99.0,94,29.73265768866049,3.0679318113059897e-05,3072954,1996164.7493421054
2,24227,55.0,53,44.85401102076196,4.3794016742538184e-05,1284031,997971.7780206897
1,27000,61.0,60,24.121974537037037,2.894241294700842e-05,1620000,1418871.6024444446
3,95501,88.0,17,31.51764902985309,2.0910528254960934e-05,1623517,1996164.7493421054
2,21183,99.0,59,17.067558598876456,6.97014273915786e-06,1249797,2628999.7780914395
3,25558,91.0,55,29.564840265278974,8.178733786764495e-06,1405690,2628999.7780914395
